id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
224249,2393,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 8, 2013",2013,"Jul 26, 2013",2013,danske-bank-as-estonia-branch,Danske Bank A/S Estonia Branch,Danske Bank A/S Estonia Branch,Europe,Estonia,EST,vtb-north-west-jsc-st-petersburg-russia-rus,VTB North-West JSC,Europe,Russia,RUS,4,1169620
224250,2393,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 18, 2013",2013,"Jul 18, 2013",2013,danske-bank-as-estonia-branch,Danske Bank A/S Estonia Branch ,Danske Bank A/S Estonia Branch ,Europe,Estonia,EST,alfabank-moscow-russia-rus,Alfabank,Europe,Russia,RUS,1,1138586
224254,2393,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 16, 2013",2013,"Jul 31, 2013",2013,danske-bank-as-estonia-branch,Danske Bank A/S Estonia Branch,Danske Bank A/S Estonia Branch,Europe,Estonia,EST,unicredit-bank-cjsc-moscow-russia-rus,"UniCredit Bank, Cjsc",Europe,Russia,RUS,4,1774970
224333,2295,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 8, 2017",2017,"Oct 31, 2017",2017,ing-bank-nv,ING Bank NV,ING Bank NV,Europe,Netherlands,NLD,rosbank-moscow-russia-rus,Rosbank,Europe,Russia,RUS,7,44700000
224334,2295,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 16, 2017",2017,"Sep 26, 2017",2017,jpmorgan-chase-bank,JPMorgan Chase Bank,JPMorgan Chase Bank,Europe,United Kingdom,GBR,rosbank-moscow-russia-rus,Rosbank,Europe,Russia,RUS,5,18500000
224337,2295,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 5, 2017",2017,"Oct 27, 2017",2017,credit-suisse-international,Credit Suisse International,Credit Suisse International,Europe,United Kingdom,GBR,rosbank-moscow-russia-rus,Rosbank,Europe,Russia,RUS,6,33800000
224519,4098,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Dec 22, 2015",2015,"Dec 22, 2015",2015,deutsche-bank-ag,Deutsche Bank AG,Deutsche Bank AG,Europe,United Kingdom,GBR,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,598000
224726,4145,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 11, 2015",2015,"Sep 11, 2015",2015,china-merchants-bank,China Merchants Bank,China Merchants Bank,Asia,China,CHN,credit-suisse-singapore-sgp,Credit Suisse,Asia,Singapore,SGP,1,2860562.43
224728,4145,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 21, 2015",2015,"Sep 21, 2015",2015,hsbc-singapore-general-account,HSBC Singapore General Account,HSBC Singapore General Account,Asia,Singapore,SGP,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Asia,Singapore,SGP,1,4920748.22
224730,4145,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 18, 2015",2015,"Sep 18, 2015",2015,standard-chartered-bank,Standard Chartered Bank,Standard Chartered Bank,Europe,United Kingdom,GBR,banque-de-commerce-et-de-placements-s-a-geneva-switzerland-che,Banque De Commerce Et De Placements SA ,Europe,Switzerland,CHE,1,3000000
