id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
224049,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 21, 2014",2014,"Mar 21, 2014",2014,bsi-sa,BSI SA,BSI SA,Europe,Switzerland,CHE,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd.,Asia,Singapore,SGP,1,12537500
224050,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 28, 2014",2014,"Mar 28, 2014",2014,gazprombank,Gazprombank,Gazprombank,Europe,Russia,RUS,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,10000000
224051,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 28, 2014",2014,"Mar 28, 2014",2014,gazprombank,Gazprombank,Gazprombank,Europe,Russia,RUS,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,10000000
224052,3482,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 7, 2014",2014,"Mar 7, 2014",2014,norvik-banka-jsc,Norvik Banka JSC,Norvik Banka JSC,Europe,Latvia,LVA,efg-bank-zurich-switzerland-che,EFG Bank,Europe,Switzerland,CHE,2,33599900
224057,3575,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 18, 2015",2015,"Mar 18, 2015",2015,unicredit-bank-cjsc,"UniCredit Bank, Cjsc","UniCredit Bank, Cjsc",Europe,Russia,RUS,credit-suisse-ag-zurich-switzerland-che,Credit Suisse AG,Europe,Switzerland,CHE,1,1762600
224252,2393,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 5, 2013",2013,"Jul 29, 2013",2013,north-credit-bank,North Credit Bank,North Credit Bank,Europe,Russia,RUS,danske-bank-as-estonia-branch-tallinn-estonia-est,Danske Bank A/S Estonia Branch,Europe,Estonia,EST,6,1654639.27
224257,2393,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jul 5, 2013",2013,"Jul 31, 2013",2013,ojsc-bank-narodniy-credit,Ojsc Bank Narodniy Credit,Ojsc Bank Narodniy Credit,Europe,Russia,RUS,danske-bank-as-estonia-branch-tallinn-estonia-est,"Danske Bank A/S, Estonia Branch",Europe,Estonia,EST,13,4049460.42
224332,2295,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 28, 2017",2017,"Nov 3, 2017",2017,rosbank,Rosbank,Rosbank,Europe,Russia,RUS,credit-suisse-international-london-uk-gbr,Credit Suisse International,Europe,United Kingdom,GBR,5,36200000
224728,4145,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 21, 2015",2015,"Sep 21, 2015",2015,hsbc-singapore-general-account,HSBC Singapore General Account,HSBC Singapore General Account,Asia,Singapore,SGP,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Asia,Singapore,SGP,1,4920748.22
224731,4145,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Sep 3, 2015",2015,"Sep 3, 2015",2015,banque-de-commerce-et-de-placements-s-a,Banque De Commerce Et De Placements SA,Banque De Commerce Et De Placements,Europe,Switzerland,CHE,standard-chartered-bank-london-england-gbr,Standard Chartered Bank,Europe,United Kingdom,GBR,1,6000000
