id,icij_sar_id,filer_org_name_id,filer_org_name,begin_date,begin_date_year,end_date,end_date_year,originator_bank_id,originator_bank,originator_bank_display,originator_bank_continent,originator_bank_country,originator_iso,beneficiary_bank_id,beneficiary_bank,beneficiary_bank_continent,beneficiary_bank_country,beneficiary_iso,number_transactions,amount_transactions
235119,3382,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 24, 2016",2016,"Dec 1, 2016",2016,goldman-sachs-international,Goldman Sachs International,Goldman Sachs International,Europe,United Kingdom,GBR,credit-suisse-kowloon-hong-kong-hkg,Credit Suisse,Asia,Hong Kong,HKG,2,500000
225264,3213,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Mar 21, 2013",2013,"Jul 31, 2013",2013,gonet-bank-and-trust-limited,Gonet Bank And Trust Limited,Gonet Bank And Trust Limited,North America,Bahamas,BHS,caledonian-bank-limited-georgetown-cayman-islands-cym,Caledonian Bank Limited,North America,Cayman Islands,CYM,2,400000
226162,4206,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Jan 18, 2013",2013,"Jan 18, 2013",2013,gonet-bank-and-trust-limited,Gonet Bank And Trust Limited,Gonet Bank And Trust Limited,North America,Bahamas,BHS,pershing-llc-us-jersey-city-nj-usa,Pershing Llc Us,North America,United States,USA,1,2000000
230991,3795,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"May 27, 2014",2014,"May 27, 2014",2014,gonet-et-cie,Gonet Et Cie,Gonet Et Cie,Europe,Switzerland,CHE,abn-amro-bank-nv-uae-dubai-uae-are,ABN Amro Bank N.V.  Uae,Asia,United Arab Emirates,ARE,1,2000000
232716,2479,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Nov 5, 2015",2015,"Nov 18, 2015",2015,gunaybank-joint-stock-bank,Gunaybank Joint Stock Bank,Gunaybank Joint Stock Bank,Asia,Azerbaijan,AZE,versobank-as-tallinn-estonia-est,Versobank AS,Europe,Estonia,EST,2,943480
230425,2441,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Aug 4, 2014",2014,"Aug 29, 2014",2014,halyk-savings-bank-kazakhstan,Halyk Savings Bank Kazakhstan,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,ablv-bank-as-riga-latvia-lva,"ABLV Bank, AS",Europe,Latvia,LVA,4,12386799
237592,2449,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Nov 27, 2014",2014,"Nov 27, 2014",2014,halyk-savings-bank-kazakhstan,Halyk Savings Bank Kazakhstan,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,rietumu-banka-jsc-riga-latvia-lva,Rietumu Banka JSC,Europe,Latvia,LVA,1,7200000
241371,2444,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Oct 10, 2014",2014,"Oct 27, 2014",2014,halyk-savings-bank-kazakhstan,Halyk Savings Bank Kazakhstan,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,ablv-bank-as-riga-latvia-lva,"ABLV Bank, AS",Europe,Latvia,LVA,5,6500000
234738,2488,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Feb 9, 2016",2016,"Feb 9, 2016",2016,halyk-savings-bank-kazakhstan,Halyk Savings Bank Kazakhstan,Halyk Savings Bank Kazakhstan,Asia,Kazakhstan,KAZ,jsc-norvik-banka-riga-latvia-lva,JSC Norvik Banka,Europe,Latvia,LVA,1,872000
235275,2961,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,"Apr 22, 2013",2013,"Sep 5, 2013",2013,hang-seng-bank-ltd,Hang Seng Bank Ltd,Hang Seng Bank Ltd,Asia,Hong Kong,HKG,pt-bank-commonwealth-jakarta-indonesia-idn,PT Bank Commonwealth,Asia,Indonesia,IDN,10,1499693
